Time,SN
1.754986393230769181e+03,9.225869724129992733e+00
1.754989170984615384e+03,5.921549104111557327e+00
1.754991948738461360e+03,8.049531047828997643e+00
1.754994726492307564e+03,1.413675269753123764e+01
1.754997504246153767e+03,4.260317977806276524e+00
1.755000281999999970e+03,1.221597129406368865e+01
1.755003059753846173e+03,1.057319895551396627e+01
1.755005837507692149e+03,1.431146052392971235e+01
1.755008615261538353e+03,7.732908867443348377e+00
1.755011393015384556e+03,9.025340097057613420e+00
1.755014170769230759e+03,1.518888494170169778e+01
1.755016948523076735e+03,1.188522162735978505e+01
1.755019726276922938e+03,1.643486535872284904e+01
1.755022504030769142e+03,1.028714423025002844e+01
1.755025281784615345e+03,2.101083232014836710e+01
1.755028059538461548e+03,1.577816239189243497e+01
1.755030837292307524e+03,1.294867692433357220e+01
1.755033615046153727e+03,1.950351459910259422e+01
1.755036392799999931e+03,1.469022316134224582e+01
1.755039170553846134e+03,1.963355698433719354e+01
1.755041948307692337e+03,1.699376414410849989e+01
1.755044726061538313e+03,2.500217514214487835e+01
1.755047503815384516e+03,1.029232272676068760e+01
1.755050281569230719e+03,2.134380773775482609e+01
1.755053059323076923e+03,1.875567049048916957e+01
1.755055837076922899e+03,2.480312671032438487e+01
1.755058614830769102e+03,1.557358602118743462e+01
1.755061392584615305e+03,1.125321714415627383e+01
1.755064170338461508e+03,1.780843104164276269e+01
1.755066948092307712e+03,2.264035719676210334e+01
1.755069725846153688e+03,1.721317184278423440e+01
1.755072503599999891e+03,1.598803578855744512e+01
1.755075281353846094e+03,2.633097609794751648e+01
1.755078059107692297e+03,2.065901490351804881e+01
1.755080836861538273e+03,2.626369130199134361e+01
1.755083614615384477e+03,2.551680243486751465e+01
1.755086392369230680e+03,1.799031656272042312e+01
1.755089170123076883e+03,2.577260737935610280e+01
1.755091947876923086e+03,1.848423204167496081e+01
1.755094725630769062e+03,9.163622731648493058e+00
1.755097503384615266e+03,2.438273951657558669e+01
1.755100281138461469e+03,2.428173533835916231e+01
1.755103058892307672e+03,1.957747223844000217e+01
1.755105836646153875e+03,1.185513181109111436e+01
1.755108614399999851e+03,1.459282162730850629e+01
1.755111392153846054e+03,2.032336207573654363e+01
1.755114169907692258e+03,2.660094268024892727e+01
1.755116947661538461e+03,2.421250766223701589e+01
1.755119725415384437e+03,2.067072338680945975e+01
1.755122503169230640e+03,2.102896056834923755e+01
